won,player_matches,mean_final_tiles,rival_attacks_per_100_decisions,neutral_attacks_per_100_decisions,neutral_boats_per_100_decisions,invasions_per_100_decisions,builds_per_100_decisions,social_per_100_decisions,holds_per_100_decisions
true,51,233486.7,37.02,30.71,13.67,2.02,8.63,1.98,1.72
false,269,43267.2,14.88,37.44,10.14,4.25,9.4,8.44,4.66
