round_number,player_count,player_name,policy_version,matches,wins,win_rate_pct,mean_final_tiles,rival_attacks,neutral_boats,builds,social_actions
497,12,Auri,42,4,0,0.0,260.8,51,33,76,31
497,12,James Boggs,1,4,0,0.0,0.0,99,12,61,68
497,12,daveey,22,4,0,0.0,0.0,135,39,60,19
497,12,docxology,1,4,0,0.0,0.0,86,0,0,0
498,12,daveey,22,3,2,66.67,377240.7,200,51,27,22
498,12,odin free,83,3,1,33.33,189417.0,62,108,49,29
498,12,Richard Higgins,7,3,0,0.0,37549.7,193,43,21,19
498,12,Ron @ SWGY,1,3,0,0.0,26789.7,34,91,44,71
498,12,RelhAlpha,3,3,0,0.0,10205.7,131,47,16,11
498,12,K1Z juryoku-koku,2,3,0,0.0,8560.3,9,66,42,164
498,12,Auri,42,3,0,0.0,998.0,76,27,66,26
498,12,K1Z katanasan,38,3,0,0.0,617.0,5,24,21,80
498,12,Calc,27,3,0,0.0,185.7,27,19,32,72
498,12,James Boggs,1,3,0,0.0,0.0,40,1,14,2
498,12,Sefirot,24,3,0,0.0,0.0,27,0,26,0
498,12,docxology,1,3,0,0.0,0.0,32,0,0,0
499,12,K1Z katanasan,38,4,1,25.0,127266.5,37,30,83,445
499,12,daveey,22,4,1,25.0,79650.5,218,20,60,21
499,12,odin free,85,4,0,0.0,98348.8,105,61,64,62
499,12,K1Z juryoku-koku,2,4,0,0.0,81304.5,16,50,59,594
499,12,Calc,27,4,0,0.0,10279.5,6,13,113,163
499,12,Sefirot,25,4,0,0.0,9068.3,75,58,41,36
499,12,RelhAlpha,3,4,0,0.0,4873.8,206,0,10,10
499,12,Auri,42,4,0,0.0,0.0,62,25,70,26
499,12,James Boggs,1,4,0,0.0,0.0,83,22,37,92
499,12,Richard Higgins,7,4,0,0.0,0.0,347,0,10,13
499,12,Ron @ SWGY,1,4,0,0.0,0.0,78,68,61,136
499,12,docxology,1,4,0,0.0,0.0,43,0,0,0
500,12,daveey,22,4,2,50.0,256165.8,241,56,60,32
500,12,Auri,42,4,1,25.0,132981.5,107,71,111,94
500,12,RelhAlpha,3,4,0,0.0,126899.3,283,62,46,23
500,12,Sefirot,25,4,0,0.0,51787.8,198,73,36,118
500,12,odin free,87,4,0,0.0,46135.5,81,97,55,85
500,12,K1Z katanasan,39,4,0,0.0,25467.3,37,59,61,108
500,12,Richard Higgins,7,4,0,0.0,1820.3,138,24,18,13
500,12,Ron @ SWGY,1,4,0,0.0,228.8,60,92,63,140
500,12,K1Z juryoku-koku,3,4,0,0.0,217.3,6,58,75,96
500,12,Calc,27,4,0,0.0,75.8,19,16,48,128
500,12,James Boggs,1,4,0,0.0,0.0,58,28,22,110
500,12,docxology,1,4,0,0.0,0.0,44,0,0,0
501,12,K1Z katanasan,39,4,1,25.0,106040.3,20,29,56,260
501,12,odin free,89,4,1,25.0,98152.8,50,96,60,83
501,12,Richard Higgins,7,4,1,25.0,93032.8,300,0,23,12
501,12,K1Z juryoku-koku,3,4,0,0.0,92795.8,22,23,59,198
501,12,Calc,27,4,0,0.0,12051.0,15,17,94,216
501,12,Sefirot,25,4,0,0.0,4920.3,107,29,46,16
501,12,Auri,42,4,0,0.0,1805.3,95,39,119,91
501,12,Ron @ SWGY,1,4,0,0.0,586.3,70,86,66,91
501,12,RelhAlpha,3,4,0,0.0,368.0,196,0,14,13
501,12,James Boggs,1,4,0,0.0,0.0,98,15,31,64
501,12,daveey,22,4,0,0.0,0.0,127,8,43,13
501,12,docxology,1,4,0,0.0,0.0,44,0,0,0
