player_name,policy_version,won,phase,decisions,rival_attack_rate_pct,neutral_attack_rate_pct,build_rate_pct,social_rate_pct,hold_rate_pct,mean_attack_ratio,mean_attack_percent
daveey,20,false,conversion,105,20.0,51.43,4.76,0.95,10.48,2.8,22.9
daveey,20,false,finish,591,18.78,11.68,8.46,4.4,17.77,3.22,25.3
docxology,1,false,opening,799,20.28,49.69,0.0,0.0,0.0,0.84,10.0
docxology,1,false,conversion,755,65.43,34.57,0.0,0.0,0.0,0.53,10.0
docxology,1,false,finish,2552,36.76,21.16,10.78,0.0,0.0,1.74,10.0
katanasan,34,true,opening,30,0.0,60.0,10.0,0.0,0.0,,
katanasan,34,true,conversion,45,0.0,93.33,6.67,0.0,0.0,,
katanasan,34,true,finish,145,70.34,18.62,6.9,0.69,0.0,1.59,31.8
katanasan,34,false,opening,540,0.0,58.7,10.0,1.3,0.0,,
katanasan,34,false,conversion,810,3.09,61.36,14.32,4.2,0.25,2.04,35.2
katanasan,34,false,finish,5507,6.61,33.48,15.53,1.07,1.69,6.43,34.0
odin free,77,true,opening,290,1.03,68.28,0.69,0.0,0.0,1.16,15.0
odin free,77,true,conversion,435,29.66,56.55,11.49,0.0,0.0,1.84,23.1
odin free,77,true,finish,3716,43.57,9.9,11.22,0.0,0.0,4.53,22.7
odin free,77,false,opening,510,2.75,65.1,2.16,0.0,0.0,1.16,14.3
odin free,77,false,conversion,760,32.11,51.97,10.39,0.0,0.0,2.07,22.1
odin free,77,false,finish,4827,22.31,10.13,9.82,1.16,0.54,4.29,22.7
