round_number,rank,score,player_name,policy_name,policy_version,policy_version_id,completed_episode_count,seed_order
1300,1,0.3333333333333333,Jordan,jordan-proxywar-auto,10,d9f07511-b1c6-4a4c-ba13-6d9cb3a5e8de,6,16
1300,2,0.2,CYAN HELLSTAR,sian-cyan7-gravity,1,33e14014-87b4-48f4-8aeb-c165f3a6c8f8,10,12
1300,3,0.2,Calc,my-proxywar-agent,177,8eb8f72d-2a81-4f76-9530-66faaa1a2f3f,5,17
1300,4,0.18181818181818182,SIAN VOIDCROWN,sian-cyan7-katana,1,7ba41bac-137d-4db2-99df-303ff29e2383,11,11
1300,5,0.14285714285714285,0d1novizzz,xX_UwU_Senpai_420_Xx,6,f28b3727-e409-4d9c-b434-cf75e168bf95,7,15
1300,6,0.125,K1Z Mickey Mouse,mickey-mouse-intent,1,7329eda7-b041-4853-9ee6-e05cc1a98ac2,8,7
1300,7,0.125,djizus,gandhi,22,9c207119-9506-43ab-b8c9-d9db573ccbee,8,14
1300,8,0.1111111111111111,Captain Underpants Maximum Aura,captain-underpants-max-aura,1,348b11ff-29b1-4743-b456-e735dbf1520d,9,8
1300,9,0.0,richard,co-gas-proxywar-richard,7,cea2bb5b-add0-4dd3-aa32-9442280142c5,1,0
1300,10,0.0,James Botts,jamesboggs-warlord,1,dffb6fb2-673e-4be5-9e35-ba69d6731754,2,1
1300,11,0.0,docxology,daf-proxywar-v2,1,4110c5a3-f340-44d6-ad60-106f5672df88,3,2
1300,12,0.0,Ron @ SWGY,ron-frontier-ranker,1,2b8cdf1f-7602-4340-ac38-3e6eba911ec7,4,3
1300,13,0.0,relh,co-gas-proxywar-relhalpha,3,b378acb9-2446-45c9-b3ce-67eac8e72170,5,4
1300,14,0.0,salomon-shdow,fortress-empire-ohf,13,13cfba2f-2270-4b1f-97a2-d9cd3d391b21,6,5
1300,15,0.0,daveey,daveey-proxywar,24,3ed5713d-7940-45f1-b347-76d596b90fe8,7,6
1300,16,0.0,softmaxwell,Sun Tzu,2,08a431c6-7b6d-48d2-ad08-5b7e3530528d,10,9
1300,17,0.0,Sefirot,Eva-00-C9,1,82400a09-21a8-4bf5-8314-cdc3089d8ce8,11,10
1300,18,0.0,Larslllllll,hermes-proxywar-opportunist-raider,1,b54b6ea0-75bc-43e3-9095-52dcf3151399,9,13
1300,19,0.0,Andre von Houck,kutuzov,29,7963364f-beea-412b-8f33-db0683aed4d9,4,18
1300,20,0.0,antheducation,tasksmith-economy,1,ca13c341-98c5-44c8-8c59-1da7412d263b,3,19
1300,21,0.0,Ari Sklar,arisk-proxywar-starter,1,540eec90-0608-4dcd-9d25-c7d4a654dfe9,2,20
1300,22,0.0,Auri,proxywar-keystone,46,4317e3a9-a40b-4705-8c18-93887c8d5416,1,21
1301,1,1.0,richard,co-gas-proxywar-richard,7,cea2bb5b-add0-4dd3-aa32-9442280142c5,1,0
1301,2,0.3333333333333333,Jordan,jordan-proxywar-auto,10,d9f07511-b1c6-4a4c-ba13-6d9cb3a5e8de,6,16
1301,3,0.25,Andre von Houck,kutuzov,29,7963364f-beea-412b-8f33-db0683aed4d9,4,18
1301,4,0.2,softmaxwell,Sun Tzu,2,08a431c6-7b6d-48d2-ad08-5b7e3530528d,10,9
